Dex,Spawn,League / Purpose,Best form & rank,Folded forms,Total
41,Zubat,Collection only,,Zubat #41 · Golbat #42 · Crobat #169,
43,Oddish,Collection only,,Oddish #43 · Gloom #44 · Vileplume #45 · Bellossom #182,
46,Paras,Collection only,,Paras #46 · Parasect #47,
48,Venonat,Collection only,,Venonat #48 · Venomoth #49,
50,Diglett,Collection only,,Diglett #50 · Diglett (Alolan) #50 · Dugtrio #51 · Dugtrio (Alolan) #51,
52,Meowth,Collection only,,Meowth #52 · Meowth (Alolan) #52 · Meowth (Galarian) #52 · Persian #53 · Persian (Alolan) #53 · Perrserker #863,
54,Psyduck,Collection only,,Psyduck #54 · Golduck #55,
56,Mankey,ML UL,UL: Annihilape #34 | UL: Shadow Annihilape #36 | ML: Shadow Annihilape #47 | ML: Annihilape #59,Mankey #56 · Primeape #57 · Annihilape #979,4
58,Growlithe,Collection only,,Growlithe #58 · Growlithe (Hisuian) #58 · Arcanine #59 · Arcanine (Hisuian) #59,
60,Poliwag,Collection only,,Poliwag #60 · Poliwhirl #61 · Poliwrath #62 · Politoed #186,
63,Abra,PvE,"PvE: Mega Alakazam — Psychic #4, #1, #1 | PvE: Mega Alakazam — Fairy #5, #2, #2 | PvE: Mega Alakazam — Ghost #12, #4, #3 | PvE: Mega Alakazam — Fighting #22, #8, #6",Abra #63 · Kadabra #64 · Alakazam #65,4
66,Machop,Collection only,,Machop #66 · Machoke #67 · Machamp #68,
69,Bellsprout,PvE,"PvE: Mega Victreebel — Poison #5, #3, #3 | PvE: Mega Victreebel — Grass #9, #5, #3",Bellsprout #69 · Weepinbell #70 · Victreebel #71,2
72,Tentacool,UL,UL: Tentacruel #75 | UL: Shadow Tentacruel #76,Tentacool #72 · Tentacruel #73,2
74,Geodude,PvE,"PvE: Shadow Alolan Golem — Electric #22, #6, #6",Geodude #74 · Geodude (Alolan) #74 · Graveler #75 · Graveler (Alolan) #75 · Golem #76 · Golem (Alolan) #76,1
77,Ponyta,Collection only,,Ponyta #77 · Ponyta (Galarian) #77 · Rapidash #78 · Rapidash (Galarian) #78,
79,Slowpoke,PvE,"PvE: Mega Slowbro — Psychic #37, #6, #5",Slowpoke #79 · Slowpoke (Galarian) #79 · Slowbro #80 · Slowbro (Galarian) #80 · Slowking #199 · Slowking (Galarian) #199,1
81,Magnemite,PvE,"PvE: Shadow Magnezone — Electric #10, #2, #4",Magnemite #81 · Magneton #82 · Magnezone #462,1
83,Farfetch'd,Collection only,,Farfetch'd #83,
83,Farfetch'd,Collection only,,Farfetch'd (Galarian) #83 · Sirfetch'd #865,
84,Doduo,Collection only,,Doduo #84 · Dodrio #85,
86,Seel,GL LC,LC: Seel #3 | GL: Dewgong #56,Seel #86 · Dewgong #87,2
88,Grimer,Collection only,,Grimer #88 · Grimer (Alolan) #88 · Muk #89 · Muk (Alolan) #89,
90,Shellder,Collection only,,Shellder #90 · Cloyster #91,
92,Gastly,PvE,"PvE: Mega Gengar — Poison #2, #1, #1 | PvE: Mega Gengar — Ghost #3, #1, #1 | PvE: Mega Gengar — Dark #6, #4, #3 | PvE: Mega Gengar — Psychic #21, #4, #4",Gastly #92 · Haunter #93 · Gengar #94,4
95,Onix,GL LC UL,LC: Shadow Onix #40 | LC: Onix #47 | GL: Shadow Steelix #59 | UL: Steelix #41 | UL: Shadow Steelix #49,Onix #95 · Steelix #208,5
96,Drowzee,Collection only,,Drowzee #96 · Hypno #97,
98,Krabby,Collection only,,Krabby #98 · Kingler #99,
100,Voltorb,Collection only,,Voltorb #100 · Voltorb (Hisuian) #100 · Electrode #101 · Electrode (Hisuian) #101,
102,Exeggcute,Collection only,,Exeggcute #102 · Exeggutor #103 · Exeggutor (Alolan) #103,
104,Cubone,GL LC,LC: Shadow Cubone #15 | LC: Cubone #23 | GL: Shadow Marowak #67,Cubone #104 · Marowak #105 · Marowak (Alolan) #105,3
106,Hitmonlee,Collection only,,Hitmonlee #106 · Hitmonchan #107 · Tyrogue #236 · Hitmontop #237,
108,Lickitung,GL LC UL,LC: Lickitung #8 | GL: Lickilicky #2 | UL: Lickilicky #2,Lickitung #108 · Lickilicky #463,3
109,Koffing,UL,UL: Weezing (Galarian) #86 | UL: Shadow Weezing (Galarian) #89,Koffing #109 · Weezing #110 · Weezing (Galarian) #110,2
111,Rhyhorn,LC ML PvE,"LC: Shadow Rhyhorn #45 | ML: Rhyperior #68 | ML: Shadow Rhyperior #73 | PvE: Shadow Rhyperior — Rock #2, #1, #3 | PvE: Shadow Rhyperior — Ground #8, #3, #4",Rhyhorn #111 · Rhydon #112 · Rhyperior #464,5
113,Chansey,Collection only,,Chansey #113 · Blissey #242 · Happiny #440,
114,Tangela,Collection only,,Tangela #114 · Tangrowth #465,
115,Kangaskhan,Collection only,,Kangaskhan #115,
116,Horsea,GL UL,GL: Kingdra #23 | GL: Shadow Kingdra #28 | UL: Kingdra #17 | UL: Shadow Kingdra #37,Horsea #116 · Seadra #117 · Kingdra #230,4
118,Goldeen,GL UL,GL: Seaking #79 | UL: Seaking #44,Goldeen #118 · Seaking #119,2
120,Staryu,Collection only,,Staryu #120 · Starmie #121,
122,Mr. Mime,Collection only,,Mr. Mime #122 · Mr. Mime (Galarian) #122 · Mime (Jr) #439 · Mr. Rime #866,
123,Scyther,PvE UL,"UL: Shadow Scizor #85 | PvE: Mega Scizor — Bug #3, #3, #3 | PvE: Mega Scizor — Steel #24, #7, #6",Scyther #123 · Scizor #212 · Kleavor #900,3
124,Jynx,Collection only,,Jynx #124 · Smoochum #238,
125,Electabuzz,PvE,"PvE: Shadow Electivire — Electric #12, #4, #3",Electabuzz #125 · Elekid #239 · Electivire #466,1
126,Magmar,Collection only,,Magmar #126 · Magby #240 · Magmortar #467,
127,Pinsir,PvE,"PvE: Mega Pinsir — Bug #2, #2, #2",Pinsir #127,1
128,Tauros,Collection only,,Tauros #128,
128,Tauros,Collection only,,Tauros (Aqua) #128,
128,Tauros,Collection only,,Tauros (Blaze) #128,
128,Tauros,Collection only,,Tauros (Combat) #128,
129,Magikarp,ML PvE UL,"UL: Gyarados #65 | UL: Shadow Gyarados #80 | ML: Shadow Gyarados #32 | ML: Gyarados #58 | PvE: Mega Gyarados — Water #5, #3, #3",Magikarp #129 · Gyarados #130,5
131,Lapras,GL UL,GL: Lapras #25 | GL: Shadow Lapras #46 | UL: Lapras #21 | UL: Shadow Lapras #25,Lapras #131,4
133,Eevee,GL LC ML PvE UL,"LC: Eevee #17 | GL: Umbreon #32 | UL: Sylveon #78 | ML: Sylveon #56 | PvE: Sylveon — Fairy #21, #7, #5 | PvE: Espeon — Psychic #40, #8, #6",Eevee #133 · Vaporeon #134 · Jolteon #135 · Flareon #136 · Espeon #196 · Umbreon #197 · Leafeon #470 · Glaceon #471 · Sylveon #700,6
137,Porygon,PvE,"PvE: Shadow Porygon-Z — Normal #7, #2, #2",Porygon #137 · Porygon2 #233 · Porygon-Z #474,1
138,Omanyte,Collection only,,Omanyte #138 · Omastar #139,
140,Kabuto,Collection only,,Kabuto #140 · Kabutops #141,
142,Aerodactyl,PvE,"PvE: Mega Aerodactyl — Rock #4, #3, #2 | PvE: Mega Aerodactyl — Normal #24, #9, #4",Aerodactyl #142,2
143,Snorlax,Collection only,,Snorlax #143 · Munchlax #446,
144,Articuno,PvE,PvE: Galarian Articuno — Flying #10 | PvE: Shadow Articuno — Ice #14 | PvE: Galarian Articuno — Psychic #18,Articuno #144,3
144,Articuno,PvE,PvE: Galarian Articuno — Flying #10 | PvE: Shadow Articuno — Ice #14 | PvE: Galarian Articuno — Psychic #18,Articuno (Galarian) #144,3
145,Zapdos,ML PvE,ML: Shadow Zapdos #72 | PvE: Shadow Zapdos — Electric #9 | PvE: Shadow Zapdos — Flying #13,Zapdos #145,3
145,Zapdos,PvE,PvE: Shadow Zapdos — Electric #9 | PvE: Shadow Zapdos — Flying #13,Zapdos (Galarian) #145,2
146,Moltres,PvE,PvE: Shadow Moltres — Flying #3 | PvE: Shadow Moltres — Fire #8,Moltres #146,2
146,Moltres,GL PvE UL,GL: Moltres (Galarian) #50 | UL: Moltres (Galarian) #10 | PvE: Shadow Moltres — Flying #3 | PvE: Shadow Moltres — Fire #8,Moltres (Galarian) #146,4
147,Dratini,GL LC ML PvE,"LC: Shadow Dratini #24 | LC: Dratini #42 | GL: Shadow Dragonair #29 | GL: Dragonair #35 | ML: Shadow Dragonite #52 | ML: Dragonite #63 | PvE: Mega Dragonite — Dragon #10, #4, #3 | PvE: Mega Dragonite — Normal #15, #5, #3",Dratini #147 · Dragonair #148 · Dragonite #149,8
150,Mewtwo,ML PvE,ML: Shadow Mewtwo #35 | ML: Mewtwo #45 | PvE: Mega Y Mewtwo — Electric #1 | PvE: Mega X Mewtwo — Fighting #1 | PvE: Mega Y Mewtwo — Psychic #1 | PvE: Mega Y Mewtwo — Ghost #2 | PvE: Mega Y Mewtwo — Normal #3 | PvE: Mega Y Mewtwo — Ice #3 | PvE: Mega X Mewtwo — Fire #14,Mewtwo #150,9
150,Mewtwo,PvE,PvE: Mega Y Mewtwo — Electric #1 | PvE: Mega X Mewtwo — Fighting #1 | PvE: Mega Y Mewtwo — Psychic #1 | PvE: Mega Y Mewtwo — Ghost #2 | PvE: Mega Y Mewtwo — Normal #3 | PvE: Mega Y Mewtwo — Ice #3 | PvE: Mega X Mewtwo — Fire #14,Mewtwo (Armored) #150,7
151,Mew,Collection only,,Mew #151,
152,Chikorita,LC,LC: Chikorita #41,Chikorita #152 · Bayleef #153 · Meganium #154,1
155,Cyndaquil,Collection only,,Cyndaquil #155 · Quilava #156 · Typhlosion #157 · Typhlosion (Hisuian) #157,
158,Totodile,GL UL,GL: Feraligatr #14 | GL: Shadow Feraligatr #22 | UL: Shadow Feraligatr #14 | UL: Feraligatr #46,Totodile #158 · Croconaw #159 · Feraligatr #160,4
161,Sentret,GL,GL: Furret #27,Sentret #161 · Furret #162,1
163,Hoothoot,Collection only,,Hoothoot #163 · Noctowl #164,
165,Ledyba,LC,LC: Shadow Ledyba #19,Ledyba #165 · Ledian #166,1
167,Spinarak,Collection only,,Spinarak #167 · Ariados #168,
170,Chinchou,Collection only,,Chinchou #170 · Lanturn #171,
175,Togepi,ML PvE UL,"UL: Togekiss #59 | ML: Togekiss #46 | PvE: Togekiss — Fairy #13, #4, #3",Togepi #175 · Togetic #176 · Togekiss #468,3
177,Natu,Collection only,,Natu #177 · Xatu #178,
179,Mareep,LC PvE UL,"LC: Shadow Mareep #44 | LC: Mareep #50 | UL: Shadow Ampharos #53 | UL: Ampharos #57 | PvE: Mega Ampharos — Electric #11, #3, #2",Mareep #179 · Flaaffy #180 · Ampharos #181,5
183,Marill,GL,GL: Azumarill #21,Marill #183 · Azumarill #184 · Azurill #298,1
185,Sudowoodo,Collection only,,Sudowoodo #185 · Bonsly #438,
187,Hoppip,GL,GL: Jumpluff #17 | GL: Shadow Jumpluff #75,Hoppip #187 · Skiploom #188 · Jumpluff #189,2
190,Aipom,Collection only,,Aipom #190 · Ambipom #424,
191,Sunkern,Collection only,,Sunkern #191 · Sunflora #192,
193,Yanma,Collection only,,Yanma #193 · Yanmega #469,
194,Wooper,GL LC,LC: Shadow Wooper #10 | LC: Wooper #11 | GL: Shadow Quagsire #8 | GL: Quagsire #9,Wooper #194 · Quagsire #195,4
194,Wooper,GL LC,LC: Wooper (Paldean) #18 | GL: Clodsire #18,Wooper (Paldean) #194 · Clodsire #980,2
198,Murkrow,Collection only,,Murkrow #198 · Honchkrow #430,
200,Misdreavus,Collection only,,Misdreavus #200 · Mismagius #429,
201,Unown,Collection only,,Unown #201,
202,Wobbuffet,LC,LC: Wynaut #2,Wobbuffet #202 · Wynaut #360,1
203,Girafarig,Collection only,,Girafarig #203,
204,Pineco,GL UL,GL: Forretress #11 | GL: Shadow Forretress #15 | UL: Forretress #12 | UL: Shadow Forretress #16,Pineco #204 · Forretress #205,4
206,Dunsparce,GL UL,GL: Dunsparce #74 | UL: Dudunsparce #79,Dunsparce #206 · Dudunsparce #982,2
207,Gligar,LC,LC: Gligar #7 | LC: Shadow Gligar #30,Gligar #207 · Gliscor #472,2
209,Snubbull,Collection only,,Snubbull #209 · Granbull #210,
211,Qwilfish,PvE,"PvE: Shadow Overqwil — Poison #6, #4, #6",Qwilfish (Hisuian) #211 · Overqwil #904,1
211,Qwilfish,Collection only,,Qwilfish #211,
213,Shuckle,Collection only,,Shuckle #213,
214,Heracross,PvE,"PvE: Mega Heracross — Bug #1, #1, #1 | PvE: Mega Heracross — Fighting #6, #3, #3 | PvE: Mega Heracross — Ground #18, #7, #5",Heracross #214,3
215,Sneasel,Collection only,,Sneasel #215 · Sneasel (Hisuian) #215 · Weavile #461 · Sneasler #903,
216,Teddiursa,PvE,"PvE: Shadow Ursaluna — Normal #12, #3, #5",Teddiursa #216 · Ursaring #217 · Ursaluna #901,1
218,Slugma,Collection only,,Slugma #218 · Magcargo #219,
220,Swinub,PvE,"PvE: Shadow Mamoswine — Ice #5, #1, #4",Swinub #220 · Piloswine #221 · Mamoswine #473,1
222,Corsola,Collection only,,Corsola #222,
222,Corsola,GL,GL: Corsola (Galarian) #16,Corsola (Galarian) #222,1
223,Remoraid,Collection only,,Remoraid #223 · Octillery #224,
225,Delibird,Collection only,,Delibird #225,
226,Mantine,GL,GL: Mantine #53,Mantine #226 · Mantyke #458,1
227,Skarmory,PvE,"PvE: Mega Skarmory — Steel #14, #5, #4 | PvE: Mega Skarmory — Flying #15, #4, #3",Skarmory #227,2
228,Houndour,PvE,"PvE: Mega Houndoom — Dark #7, #5, #4 | PvE: Mega Houndoom — Fire #25, #9, #4",Houndour #228 · Houndoom #229,2
231,Phanpy,Collection only,,Phanpy #231 · Donphan #232,
234,Stantler,Collection only,,Stantler #234 · Wyrdeer #899,
235,Smeargle,Collection only,,Smeargle #235,
241,Miltank,Collection only,,Miltank #241,
243,Raikou,ML PvE UL,UL: Shadow Raikou #58 | ML: Shadow Raikou #67 | PvE: Shadow Raikou — Electric #4 | PvE: Shadow Raikou — Fighting #13,Raikou #243,4
244,Entei,PvE,PvE: Shadow Entei — Fire #13,Entei #244,1
245,Suicune,Collection only,,Suicune #245,
246,Larvitar,ML PvE,"ML: Shadow Tyranitar #55 | PvE: Mega Tyranitar — Dark #1, #1, #1 | PvE: Mega Tyranitar — Rock #3, #2, #1",Larvitar #246 · Pupitar #247 · Tyranitar #248,3
249,Lugia,ML PvE,ML: Lugia #17 | ML: Shadow Lugia #19 | PvE: Apex Shadow Lugia — Flying #12 | PvE: Apex Shadow Lugia — Psychic #15,Lugia #249,4
250,Ho-Oh,ML PvE,ML: Ho-Oh #24 | ML: Shadow Ho-Oh #61 | PvE: Apex Shadow Ho-Oh — Fire #11,Ho-Oh #250,3
251,Celebi,Collection only,,Celebi #251,
252,Treecko,PvE,"PvE: Mega Sceptile — Grass #1, #1, #1 | PvE: Mega Sceptile — Dragon #25, #6, #6",Treecko #252 · Grovyle #253 · Sceptile #254,2
255,Torchic,PvE,"PvE: Mega Blaziken — Fire #3, #2, #2 | PvE: Mega Blaziken — Fighting #3, #2, #2 | PvE: Mega Blaziken — Flying #25, #7, #6",Torchic #255 · Combusken #256 · Blaziken #257,3
258,Mudkip,GL PvE UL,"GL: Swampert #64 | GL: Shadow Swampert #68 | UL: Swampert #45 | UL: Shadow Swampert #95 | PvE: Mega Swampert — Water #2, #1, #1 | PvE: Mega Swampert — Ground #10, #4, #2",Mudkip #258 · Marshtomp #259 · Swampert #260,6
261,Poochyena,Collection only,,Poochyena #261 · Mightyena #262,
263,Zigzagoon,LC,LC: Zigzagoon (Galarian) #4,Zigzagoon #263 · Zigzagoon (Galarian) #263 · Linoone #264 · Linoone (Galarian) #264 · Obstagoon #862,1
265,Wurmple,Collection only,,Wurmple #265 · Silcoon #266 · Beautifly #267 · Cascoon #268 · Dustox #269,
270,Lotad,UL,UL: Ludicolo #92,Lotad #270 · Lombre #271 · Ludicolo #272,1
273,Seedot,Collection only,,Seedot #273 · Nuzleaf #274 · Shiftry #275,
276,Taillow,Collection only,,Taillow #276 · Swellow #277,
278,Wingull,GL,GL: Pelipper #77,Wingull #278 · Pelipper #279,1
280,Ralts,PvE,"PvE: Mega Gardevoir — Fairy #1, #1, #1 | PvE: Mega Gardevoir — Ice #6, #2, #1 | PvE: Mega Gardevoir — Psychic #7, #2, #2 | PvE: Mega Gallade — Grass #12, #7, #5 | PvE: Mega Gallade — Fighting #19, #7, #4",Ralts #280 · Kirlia #281 · Gardevoir #282 · Gallade #475,5
283,Surskit,Collection only,,Surskit #283 · Masquerain #284,
285,Shroomish,Collection only,,Shroomish #285 · Breloom #286,
287,Slakoth,Collection only,,Slakoth #287 · Vigoroth #288 · Slaking #289,
290,Nincada,Collection only,,Nincada #290 · Ninjask #291,
293,Whismur,Collection only,,Whismur #293 · Loudred #294 · Exploud #295,
296,Makuhita,Collection only,,Makuhita #296 · Hariyama #297,
299,Nosepass,Collection only,,Nosepass #299 · Probopass #476,
300,Skitty,Collection only,,Skitty #300 · Delcatty #301,
302,Sableye,GL,GL: Shadow Sableye #30 | GL: Sableye #47,Sableye #302,2
303,Mawile,Collection only,,Mawile #303,
304,Aron,PvE,"PvE: Mega Aggron — Steel #17, #6, #5",Aron #304 · Lairon #305 · Aggron #306,1
307,Meditite,GL,GL: Medicham #33,Meditite #307 · Medicham #308,1
309,Electrike,PvE,"PvE: Mega Manectric — Electric #7, #1, #1",Electrike #309 · Manectric #310,1
311,Plusle,Collection only,,Plusle #311,
312,Minun,Collection only,,Minun #312,
313,Volbeat,Collection only,,Volbeat #313,
314,Illumise,Collection only,,Illumise #314,
315,Roselia,PvE,"PvE: Roserade — Poison #8, #5, #4",Roselia #315 · Budew #406 · Roserade #407,1
316,Gulpin,Collection only,,Gulpin #316 · Swalot #317,
318,Carvanha,Collection only,,Carvanha #318 · Sharpedo #319,
320,Wailmer,LC,LC: Wailmer #20,Wailmer #320 · Wailord #321,1
322,Numel,Collection only,,Numel #322 · Camerupt #323,
324,Torkoal,Collection only,,Torkoal #324,
325,Spoink,GL,GL: Grumpig #43,Spoink #325 · Grumpig #326,1
327,Spinda,Collection only,,Spinda #327,
328,Trapinch,Collection only,,Trapinch #328 · Vibrava #329 · Flygon #330,
331,Cacnea,Collection only,,Cacnea #331 · Cacturne #332,
333,Swablu,GL,GL: Altaria #4 | GL: Shadow Altaria #6,Swablu #333 · Altaria #334,2
335,Zangoose,Collection only,,Zangoose #335,
336,Seviper,Collection only,,Seviper #336,
337,Lunatone,Collection only,,Lunatone #337,
338,Solrock,Collection only,,Solrock #338,
339,Barboach,LC,LC: Shadow Barboach #12 | LC: Barboach #35,Barboach #339 · Whiscash #340,2
341,Corphish,Collection only,,Corphish #341 · Crawdaunt #342,
343,Baltoy,Collection only,,Baltoy #343 · Claydol #344,
345,Lileep,GL UL,GL: Cradily #44 | UL: Cradily #42 | UL: Shadow Cradily #50,Lileep #345 · Cradily #346,3
347,Anorith,Collection only,,Anorith #347 · Armaldo #348,
349,Feebas,GL UL,GL: Milotic #83 | UL: Milotic #40 | UL: Shadow Milotic #55,Feebas #349 · Milotic #350,3
351,Castform,Collection only,,Castform #351,
351,Castform,Collection only,,Castform (Rainy) #351,
351,Castform,Collection only,,Castform (Snowy) #351,
351,Castform,GL,GL: Castform (Sunny) #95,Castform (Sunny) #351,1
352,Kecleon,Collection only,,Kecleon #352,
353,Shuppet,PvE,"PvE: Mega Banette — Ghost #7, #3, #2",Shuppet #353 · Banette #354,1
355,Duskull,GL UL,GL: Dusclops #42 | GL: Shadow Dusclops #49 | GL: Shadow Dusknoir #72 | GL: Dusknoir #96 | UL: Dusknoir #20 | UL: Shadow Dusknoir #23,Duskull #355 · Dusclops #356 · Dusknoir #477,6
357,Tropius,Collection only,,Tropius #357,
358,Chimecho,Collection only,,Chimecho #358 · Chingling #433,
359,Absol,PvE,"PvE: Mega Absol — Dark #5, #3, #2",Absol #359,1
361,Snorunt,PvE,"PvE: Mega Glalie — Ice #15, #6, #5",Snorunt #361 · Glalie #362 · Froslass #478,1
363,Spheal,GL UL,GL: Sealeo #38 | GL: Shadow Sealeo #40 | UL: Shadow Walrein #27 | UL: Walrein #31,Spheal #363 · Sealeo #364 · Walrein #365,4
366,Clamperl,Collection only,,Clamperl #366 · Huntail #367 · Gorebyss #368,
369,Relicanth,Collection only,,Relicanth #369,
370,Luvdisc,Collection only,,Luvdisc #370,
371,Bagon,GL PvE,"GL: Shelgon #89 | GL: Shadow Shelgon #91 | PvE: Shadow Salamence — Flying #4, #1, #1 | PvE: Mega Salamence — Dragon #7, #2, #2 | PvE: Mega Salamence — Dark #8, #6, #5 | PvE: Mega Salamence — Fire #21, #7, #3",Bagon #371 · Shelgon #372 · Salamence #373,6
374,Beldum,ML PvE,"ML: Metagross #3 | ML: Shadow Metagross #18 | PvE: Mega Metagross — Steel #4, #1, #1 | PvE: Mega Metagross — Psychic #9, #3, #3 | PvE: Shadow Metagross — Bug #10, #8, #6 | PvE: Mega Metagross — Ground #26, #13, #6",Beldum #374 · Metang #375 · Metagross #376,6
377,Regirock,Collection only,,Regirock #377,
378,Regice,Collection only,,Regice #378,
379,Registeel,GL UL,GL: Registeel #70 | UL: Registeel #19,Registeel #379,2
380,Latias,ML PvE,ML: Shadow Latias #40 | ML: Latias #50 | PvE: Mega Latias — Fairy #10 | PvE: Mega Latias — Psychic #12,Latias #380,4
381,Latios,ML PvE,ML: Latios #28 | ML: Shadow Latios #29 | PvE: Mega Latios — Psychic #5 | PvE: Mega Latios — Fighting #12 | PvE: Mega Latios — Dragon #17 | PvE: Mega Latios — Grass #20,Latios #381,6
382,Kyogre,ML PvE,ML: Kyogre #11 | ML: Shadow Kyogre #30 | PvE: Primal Kyogre — Water #1 | PvE: Primal Kyogre — Ice #10,Kyogre #382,4
383,Groudon,ML PvE,ML: Groudon #33 | ML: Shadow Groudon #60 | PvE: Primal Groudon — Ground #1 | PvE: Primal Groudon — Dragon #20,Groudon #383,4
384,Rayquaza,PvE,PvE: Mega Rayquaza — Flying #1 | PvE: Mega Rayquaza — Dragon #1 | PvE: Mega Rayquaza — Rock #10,Rayquaza #384,3
385,Jirachi,ML,ML: Jirachi #44,Jirachi #385,1
386,Deoxys,Collection only,,Deoxys #386,
386,Deoxys,Collection only,,Deoxys (Speed) #386,
386,Deoxys,Collection only,,Deoxys (Attack) #386,
386,Deoxys,Collection only,,Deoxys (Defense) #386,
387,Turtwig,Collection only,,Turtwig #387 · Grotle #388 · Torterra #389,
390,Chimchar,Collection only,,Chimchar #390 · Monferno #391 · Infernape #392,
393,Piplup,GL UL,GL: Empoleon #5 | GL: Shadow Empoleon #7 | UL: Shadow Empoleon #7 | UL: Empoleon #9,Piplup #393 · Prinplup #394 · Empoleon #395,4
396,Starly,Collection only,,Starly #396 · Staravia #397 · Staraptor #398,
399,Bidoof,Collection only,,Bidoof #399 · Bibarel #400,
401,Kricketot,Collection only,,Kricketot #401 · Kricketune #402,
403,Shinx,PvE,"PvE: Shadow Luxray — Electric #21, #5, #5",Shinx #403 · Luxio #404 · Luxray #405,1
408,Cranidos,PvE,"PvE: Shadow Rampardos — Rock #8, #6, #4",Cranidos #408 · Rampardos #409,1
410,Shieldon,GL,GL: Bastiodon #66,Shieldon #410 · Bastiodon #411,1
412,Burmy,Collection only,,Burmy (Plant) #412 · Wormadam (Plant) #413 · Wormadam (Sandy) #413 · Wormadam (Trash) #413 · Mothim #414,
415,Combee,Collection only,,Combee #415 · Vespiquen #416,
417,Pachirisu,Collection only,,Pachirisu #417,
418,Buizel,Collection only,,Buizel #418 · Floatzel #419,
420,Cherubi,Collection only,,Cherubi #420 · Cherrim (Sunshine) #421,
422,Shellos,Collection only,,Shellos #422,
423,Gastrodon,GL UL,GL: Gastrodon #57 | UL: Gastrodon #90,Gastrodon #423,2
425,Drifloon,LC,LC: Shadow Drifloon #27 | LC: Drifloon #34,Drifloon #425 · Drifblim #426,2
427,Buneary,PvE,"PvE: Mega Lopunny — Normal #6, #1, #1",Buneary #427 · Lopunny #428,1
431,Glameow,Collection only,,Glameow #431 · Purugly #432,
434,Stunky,LC,LC: Shadow Stunky #13,Stunky #434 · Skuntank #435,1
436,Bronzor,LC,LC: Bronzor #1,Bronzor #436 · Bronzong #437,1
441,Chatot,Collection only,,Chatot #441,
442,Spiritomb,Collection only,,Spiritomb #442,
443,Gible,ML PvE,"ML: Shadow Garchomp #20 | ML: Garchomp #23 | PvE: Mega Garchomp — Ground #2, #1, #1 | PvE: Mega Garchomp — Dragon #4, #1, #1",Gible #443 · Gabite #444 · Garchomp #445,4
447,Riolu,LC PvE,"LC: Riolu #28 | PvE: Mega Lucario — Fighting #2, #1, #1 | PvE: Mega Lucario — Steel #6, #2, #2",Riolu #447 · Lucario #448,3
449,Hippopotas,UL,UL: Hippowdon #60 | UL: Shadow Hippowdon #69,Hippopotas #449 · Hippowdon #450,2
451,Skorupi,GL UL,GL: Shadow Drapion #60 | GL: Drapion #93 | UL: Drapion #99,Skorupi #451 · Drapion #452,3
453,Croagunk,Collection only,,Croagunk #453 · Toxicroak #454,
455,Carnivine,Collection only,,Carnivine #455,
