Dex,Spawn (base),League / Purpose,Best form & rank,IV target,Moveset,Keep,Total
,,LC,Vulpix (Alolan) (Shadow) #22 (score 79.8),Rank ≤ #100  (low ATK / high bulk),Powder Snow / Weather Ball Ice / Dark Pulse,1,
,,LC,Vulpix (Shadow) #38 (score 77.8),Rank ≤ #100  (low ATK / high bulk),Quick Attack / Weather Ball Fire / Body Slam,1,
56,Mankey,UL,Annihilape #34 (score 90.1),Rank ≤ #100  (low ATK / high bulk),Low Kick / Rage Fist / Close Combat,1,4
,,ML,Annihilape #59 (score 82.3),IV% ≥96% or 15 ATK  (high ATK),Counter / Rage Fist / Ice Punch,1,
,,UL,Annihilape (Shadow) #36 (score 89.9),Rank ≤ #100  (low ATK / high bulk),Low Kick / Rage Fist / Close Combat,1,
,,ML,Annihilape (Shadow) #47 (score 84.6),IV% ≥96% or 15 ATK  (high ATK),Counter / Rage Fist / Ice Punch,1,
72,Tentacool,UL,Tentacruel #75 (score 88.3),Rank ≤ #100  (low ATK / high bulk),Acid / Scald / Payback,1,2
,,UL,Tentacruel (Shadow) #76 (score 88.3),Rank ≤ #100  (low ATK / high bulk),Acid / Scald / Payback,1,
86,Seel,GL,Dewgong #56 (score 89.1),Rank ≤ #100  (low ATK / high bulk),Ice Shard / Icy Wind / Drill Run,1,2
,,LC,Seel #3 (score 87.7),Rank ≤ #100  (low ATK / high bulk),Lick / Aqua Tail / Icy Wind,1,
95,Onix,LC,Onix #47 (score 76.9),Rank ≤ #100  (low ATK / high bulk),Rock Throw / Rock Slide / Sand Tomb,1,5
,,LC,Onix (Shadow) #40 (score 77.5),Rank ≤ #100  (low ATK / high bulk),Rock Throw / Rock Slide / Breaking Swipe,1,
,,UL,Steelix #41 (score 89.7),Rank ≤ #100  (low ATK / high bulk),Thunder Fang / Psychic Fangs / Earthquake,1,
,,GL,Steelix (Shadow) #59 (score 89.1),Rank ≤ #100  (low ATK / high bulk),Thunder Fang / Psychic Fangs / Crunch,1,
,,UL,Steelix (Shadow) #49 (score 89.4),Rank ≤ #100  (low ATK / high bulk),Thunder Fang / Psychic Fangs / Crunch,1,
104,Cubone,LC,Cubone #23 (score 79.4),Rank ≤ #100  (low ATK / high bulk),Mud Slap / Bone Club / Dig,1,3
,,LC,Cubone (Shadow) #15 (score 82.1),Rank ≤ #100  (low ATK / high bulk),Mud Slap / Bone Club / Dig,1,
,,GL,Marowak (Shadow) #67 (score 88.7),Rank ≤ #100  (low ATK / high bulk),Mud Slap / Bone Club / Rock Slide,1,
108,Lickitung,GL,Lickilicky #2 (score 93.7),Rank ≤ #100  (low ATK / high bulk),Rollout / Body Slam / Shadow Ball,1,3
,,UL,Lickilicky #2 (score 93.7),Rank ≤ #100  (low ATK / high bulk),Rollout / Body Slam / Shadow Ball,1,
,,LC,Lickitung #8 (score 86.5),Rank ≤ #100  (low ATK / high bulk),Lick / Body Slam / Power Whip,1,
109,Koffing,UL,Weezing (Galarian) #86 (score 87.8),Rank ≤ #100  (low ATK / high bulk),Fairy Wind / Brutal Swing / Sludge,1,2
,,UL,Weezing (Galarian) (Shadow) #89 (score 87.7),Rank ≤ #100  (low ATK / high bulk),Fairy Wind / Brutal Swing / Sludge,1,
111,Rhyhorn,LC,Rhyhorn (Shadow) #45 (score 77),Rank ≤ #100  (low ATK / high bulk),Mud Slap / Horn Attack / Bulldoze,1,3
,,ML,Rhyperior #68 (score 80.6),IV% ≥96% or 15 ATK  (high ATK),Mud Slap / Drill Run / Rock Wrecker,1,
,,ML,Rhyperior (Shadow) #73 (score 80.3),IV% ≥96% or 15 ATK  (high ATK),Mud Slap / Drill Run / Rock Wrecker,1,
116,Horsea,GL,Kingdra #23 (score 90.6),Rank ≤ #100  (low ATK / high bulk),Dragon Breath / Surf / Swift,1,4
,,UL,Kingdra #17 (score 90.9),Rank ≤ #100  (low ATK / high bulk),Dragon Breath / Surf / Swift,1,
,,GL,Kingdra (Shadow) #28 (score 90.3),Rank ≤ #100  (low ATK / high bulk),Dragon Breath / Surf / Swift,1,
,,UL,Kingdra (Shadow) #37 (score 89.9),Rank ≤ #100  (low ATK / high bulk),Dragon Breath / Surf / Swift,1,
118,Goldeen,GL,Seaking #79 (score 88),Rank ≤ #100  (low ATK / high bulk),Peck / Drill Run / Icy Wind,1,2
,,UL,Seaking #44 (score 89.6),Rank ≤ #100  (low ATK / high bulk),Peck / Drill Run / Icy Wind,1,
123,Scyther,UL,Scizor (Shadow) #85 (score 87.8),Rank ≤ #100  (low ATK / high bulk),Bullet Punch / Night Slash / Trailblaze,1,1
129,Magikarp,UL,Gyarados #65 (score 88.7),Rank ≤ #100  (low ATK / high bulk),Dragon Breath / Aqua Tail / Twister,1,4
,,ML,Gyarados #58 (score 82.4),IV% ≥96% or 15 ATK  (high ATK),Dragon Breath / Aqua Tail / Crunch,1,
,,UL,Gyarados (Shadow) #80 (score 88),Rank ≤ #100  (low ATK / high bulk),Dragon Breath / Aqua Tail / Twister,1,
,,ML,Gyarados (Shadow) #32 (score 87.6),IV% ≥96% or 15 ATK  (high ATK),Dragon Breath / Aqua Tail / Twister,1,
131,Lapras,GL,Lapras #25 (score 90.4),Rank ≤ #100  (low ATK / high bulk),Psywave / Sparkling Aria / Ice Beam,1,4
,,UL,Lapras #21 (score 90.7),Rank ≤ #100  (low ATK / high bulk),Psywave / Sparkling Aria / Ice Beam,1,
,,GL,Lapras (Shadow) #46 (score 89.5),Rank ≤ #100  (low ATK / high bulk),Psywave / Sparkling Aria / Ice Beam,1,
,,UL,Lapras (Shadow) #25 (score 90.5),Rank ≤ #100  (low ATK / high bulk),Psywave / Sparkling Aria / Ice Beam,1,
133,Eevee,LC,Eevee #17 (score 81.5),Rank ≤ #100  (low ATK / high bulk),Quick Attack / Body Slam / Dig,1,4
,,UL,Sylveon #78 (score 88.1),Rank ≤ #100  (low ATK / high bulk),Fairy Wind / Moonblast / Shadow Ball,1,
,,ML,Sylveon #56 (score 83.1),IV% ≥96% or 15 ATK  (high ATK),Fairy Wind / Moonblast / Shadow Ball,1,
,,GL,Umbreon #32 (score 90.2),Rank ≤ #100  (low ATK / high bulk),Snarl / Foul Play / Last Resort,1,
145,Zapdos,ML,Zapdos (Shadow) #72 (score 80.4),IV% ≥96% or 15 ATK  (high ATK),Thunder Shock / Drill Peck / Heat Wave,1,1
146,Moltres,GL,Moltres (Galarian) #50 (score 89.4),Rank ≤ #100  (low ATK / high bulk),Sucker Punch / Fly / Brave Bird,1,2
,,UL,Moltres (Galarian) #10 (score 92.2),Rank ≤ #100  (low ATK / high bulk),Sucker Punch / Fly / Brave Bird,1,
147,Dratini,GL,Dragonair #35 (score 90),Rank ≤ #100  (low ATK / high bulk),Dragon Breath / Aqua Tail / Dragon Pulse,1,6
,,GL,Dragonair (Shadow) #29 (score 90.2),Rank ≤ #100  (low ATK / high bulk),Dragon Breath / Wrap / Aqua Tail,1,
,,ML,Dragonite #63 (score 81.5),IV% ≥96% or 15 ATK  (high ATK),Dragon Breath / Thunder Punch / Super Power,1,
,,ML,Dragonite (Shadow) #52 (score 84),IV% ≥96% or 15 ATK  (high ATK),Dragon Breath / Thunder Punch / Super Power,1,
,,LC,Dratini #42 (score 77.2),Rank ≤ #100  (low ATK / high bulk),Dragon Breath / Aqua Tail / Wrap,1,
,,LC,Dratini (Shadow) #24 (score 79.4),Rank ≤ #100  (low ATK / high bulk),Dragon Breath / Aqua Tail / Wrap,1,
150,Mewtwo,ML,Mewtwo #45 (score 84.9),IV% ≥96% or 15 ATK  (high ATK),Psycho Cut / Psystrike / Shadow Ball,1,2
,,ML,Mewtwo (Shadow) #35 (score 87),IV% ≥96% or 15 ATK  (high ATK),Psycho Cut / Psystrike / Shadow Ball,1,
152,Chikorita,LC,Chikorita #41 (score 77.2),Rank ≤ #100  (low ATK / high bulk),Vine Whip / Body Slam / Grass Knot,1,1
158,Totodile,GL,Feraligatr #14 (score 91),Rank ≤ #100  (low ATK / high bulk),Shadow Claw / Hydro Cannon / Ice Beam,1,4
,,UL,Feraligatr #46 (score 89.5),Rank ≤ #100  (low ATK / high bulk),Shadow Claw / Hydro Cannon / Ice Beam,1,
,,GL,Feraligatr (Shadow) #22 (score 90.6),Rank ≤ #100  (low ATK / high bulk),Shadow Claw / Hydro Cannon / Ice Beam,1,
,,UL,Feraligatr (Shadow) #14 (score 91.2),Rank ≤ #100  (low ATK / high bulk),Shadow Claw / Hydro Cannon / Ice Beam,1,
161,Sentret,GL,Furret #27 (score 90.3),Rank ≤ #100  (low ATK / high bulk),Sucker Punch / Swift / Trailblaze,1,1
165,Ledyba,LC,Ledyba (Shadow) #19 (score 80.6),Rank ≤ #100  (low ATK / high bulk),Bug Bite / Aerial Ace / Silver Wind,1,1
173,Cleffa,GL,Clefable #52 (score 89.3),Rank ≤ #100  (low ATK / high bulk),Fairy Wind / Moonblast / Meteor Mash,1,2
,,UL,Clefable #54 (score 89),Rank ≤ #100  (low ATK / high bulk),Fairy Wind / Meteor Mash / Moonblast,1,
174,Igglybuff,LC,Igglybuff #32 (score 78.5),Rank ≤ #100  (low ATK / high bulk),Feint Attack / Body Slam / Shadow Ball,1,2
,,GL,Wigglytuff #48 (score 89.5),Rank ≤ #100  (low ATK / high bulk),Charm / Icy Wind / Swift,1,
175,Togepi,UL,Togekiss #59 (score 88.9),Rank ≤ #100  (low ATK / high bulk),Peck / Psyshock / Aura Sphere,1,2
,,ML,Togekiss #46 (score 84.8),IV% ≥96% or 15 ATK  (high ATK),Peck / Dazzling Gleam / Aura Sphere,1,
179,Mareep,UL,Ampharos #57 (score 88.9),Rank ≤ #100  (low ATK / high bulk),Volt Switch / Brutal Swing / Trailblaze,1,4
,,UL,Ampharos (Shadow) #53 (score 89),Rank ≤ #100  (low ATK / high bulk),Volt Switch / Brutal Swing / Trailblaze,1,
,,LC,Mareep #50 (score 76.7),Rank ≤ #100  (low ATK / high bulk),Thunder Shock / Body Slam / Discharge,1,
,,LC,Mareep (Shadow) #44 (score 77.1),Rank ≤ #100  (low ATK / high bulk),Thunder Shock / Body Slam / Discharge,1,
187,Hoppip,GL,Jumpluff #17 (score 90.9),Rank ≤ #100  (low ATK / high bulk),Fairy Wind / Energy Ball / Acrobatics,1,2
,,GL,Jumpluff (Shadow) #75 (score 88.2),Rank ≤ #100  (low ATK / high bulk),Fairy Wind / Energy Ball / Acrobatics,1,
194,Wooper,GL,Clodsire #18 (score 90.8),Rank ≤ #100  (low ATK / high bulk),Poison Sting / Earthquake / Stone Edge,1,6
,,GL,Quagsire #9 (score 91.7),Rank ≤ #100  (low ATK / high bulk),Mud Shot / Aqua Tail / Mud Bomb,1,
,,GL,Quagsire (Shadow) #8 (score 91.8),Rank ≤ #100  (low ATK / high bulk),Mud Shot / Aqua Tail / Mud Bomb,1,
,,LC,Wooper #11 (score 84.2),Rank ≤ #100  (low ATK / high bulk),Mud Shot / Body Slam / Mud Bomb,1,
,,LC,Wooper (Paldean) #18 (score 81.3),Rank ≤ #100  (low ATK / high bulk),Poison Jab / Body Slam / Dig,1,
,,LC,Wooper (Shadow) #10 (score 84.3),Rank ≤ #100  (low ATK / high bulk),Mud Shot / Body Slam / Mud Bomb,1,
204,Pineco,GL,Forretress #11 (score 91.5),Rank ≤ #100  (low ATK / high bulk),Volt Switch / Sand Tomb / Rock Tomb,1,4
,,UL,Forretress #12 (score 91.7),Rank ≤ #100  (low ATK / high bulk),Volt Switch / Rock Tomb / Sand Tomb,1,
,,GL,Forretress (Shadow) #15 (score 91),Rank ≤ #100  (low ATK / high bulk),Volt Switch / Sand Tomb / Rock Tomb,1,
,,UL,Forretress (Shadow) #16 (score 91),Rank ≤ #100  (low ATK / high bulk),Volt Switch / Rock Tomb / Sand Tomb,1,
206,Dunsparce,UL,Dudunsparce #79 (score 88),Rank ≤ #100  (low ATK / high bulk),Rollout / Body Slam / Drill Run,1,2
,,GL,Dunsparce #74 (score 88.2),Rank ≤ #100  (low ATK / high bulk),Rollout / Drill Run / Rock Slide,1,
207,Gligar,LC,Gligar #7 (score 87.1),Rank ≤ #100  (low ATK / high bulk),Wing Attack / Aerial Ace / Dig,1,2
,,LC,Gligar (Shadow) #30 (score 78.7),Rank ≤ #100  (low ATK / high bulk),Wing Attack / Aerial Ace / Dig,1,
222,Corsola,GL,Corsola (Galarian) #16 (score 90.9),Rank ≤ #100  (low ATK / high bulk),Astonish / Night Shade / Power Gem,1,1
243,Raikou,UL,Raikou (Shadow) #58 (score 88.9),Rank ≤ #100  (low ATK / high bulk),Thunder Shock / Wild Charge / Aura Sphere,1,2
,,ML,Raikou (Shadow) #67 (score 80.7),IV% ≥96% or 15 ATK  (high ATK),Thunder Shock / Wild Charge / Aura Sphere,1,
246,Larvitar,ML,Tyranitar (Shadow) #55 (score 83.2),IV% ≥96% or 15 ATK  (high ATK),Dragon Breath / Brutal Swing / Stone Edge,1,1
249,Lugia,ML,Lugia #17 (score 91),IV% ≥96% or 15 ATK  (high ATK),Dragon Tail / Aeroblast / Fly,1,2
,,ML,Lugia (Shadow) #19 (score 90.2),IV% ≥96% or 15 ATK  (high ATK),Dragon Tail / Aeroblast / Fly,1,
250,Ho-Oh,ML,Ho-Oh #24 (score 88.7),IV% ≥96% or 15 ATK  (high ATK),Incinerate / Brave Bird / Sacred Fire,1,2
,,ML,Ho-Oh (Shadow) #61 (score 82.1),IV% ≥96% or 15 ATK  (high ATK),Incinerate / Brave Bird / Sacred Fire,1,
258,Mudkip,GL,Swampert #64 (score 88.8),Rank ≤ #100  (low ATK / high bulk),Mud Shot / Hydro Cannon / Earthquake,1,4
,,UL,Swampert #45 (score 89.6),Rank ≤ #100  (low ATK / high bulk),Mud Shot / Hydro Cannon / Earthquake,1,
,,GL,Swampert (Shadow) #68 (score 88.7),Rank ≤ #100  (low ATK / high bulk),Mud Shot / Hydro Cannon / Earthquake,1,
,,UL,Swampert (Shadow) #95 (score 87.5),Rank ≤ #100  (low ATK / high bulk),Mud Shot / Hydro Cannon / Earthquake,1,
263,Zigzagoon,LC,Zigzagoon (Galarian) #4 (score 87.7),Rank ≤ #100  (low ATK / high bulk),Tackle / Body Slam / Dig,1,1
270,Lotad,UL,Ludicolo #92 (score 87.6),Rank ≤ #100  (low ATK / high bulk),Astonish / Weather Ball Water / Energy Ball,1,1
278,Wingull,GL,Pelipper #77 (score 88.1),Rank ≤ #100  (low ATK / high bulk),Wing Attack / Weather Ball Water / Hurricane,1,1
298,Azurill,GL,Azumarill #21 (score 90.6),Rank ≤ #100  (low ATK / high bulk),Bubble / Ice Beam / Play Rough,1,1
302,Sableye,GL,Sableye #47 (score 89.5),Rank ≤ #100  (low ATK / high bulk),Shadow Claw / Foul Play / Power Gem,1,2
,,GL,Sableye (Shadow) #30 (score 90.2),Rank ≤ #100  (low ATK / high bulk),Shadow Claw / Foul Play / Drain Punch,1,
307,Meditite,GL,Medicham #33 (score 90.1),Rank ≤ #100  (low ATK / high bulk),Psycho Cut / Ice Punch / Dynamic Punch,1,1
320,Wailmer,LC,Wailmer #20 (score 80.1),Rank ≤ #100  (low ATK / high bulk),Water Gun / Body Slam / Scald,1,1
325,Spoink,GL,Grumpig #43 (score 89.6),Rank ≤ #100  (low ATK / high bulk),Psywave / Dynamic Punch / Shadow Ball,1,1
333,Swablu,GL,Altaria #4 (score 92.2),Rank ≤ #100  (low ATK / high bulk),Dragon Breath / Sky Attack / Flamethrower,1,2
,,GL,Altaria (Shadow) #6 (score 91.9),Rank ≤ #100  (low ATK / high bulk),Dragon Breath / Sky Attack / Flamethrower,1,
339,Barboach,LC,Barboach #35 (score 78.1),Rank ≤ #100  (low ATK / high bulk),Mud Shot / Mud Bomb / Aqua Tail,1,2
,,LC,Barboach (Shadow) #12 (score 83.8),Rank ≤ #100  (low ATK / high bulk),Mud Shot / Mud Bomb / Aqua Tail,1,
345,Lileep,GL,Cradily #44 (score 89.5),Rank ≤ #100  (low ATK / high bulk),Acid / Rock Tomb / Grass Knot,1,3
,,UL,Cradily #42 (score 89.6),Rank ≤ #100  (low ATK / high bulk),Acid / Rock Tomb / Grass Knot,1,
,,UL,Cradily (Shadow) #50 (score 89.2),Rank ≤ #100  (low ATK / high bulk),Acid / Rock Tomb / Grass Knot,1,
349,Feebas,GL,Milotic #83 (score 87.9),Rank ≤ #100  (low ATK / high bulk),Waterfall / Aqua Tail / Wrap,1,3
,,UL,Milotic #40 (score 89.7),Rank ≤ #100  (low ATK / high bulk),Waterfall / Aqua Tail / Wrap,1,
,,UL,Milotic (Shadow) #55 (score 89),Rank ≤ #100  (low ATK / high bulk),Waterfall / Aqua Tail / Wrap,1,
351,Castform,GL,Castform (Sunny) #95 (score 87.4),Rank ≤ #100  (low ATK / high bulk),Ember / Weather Ball Fire / Solar Beam,1,1
355,Duskull,GL,Dusclops #42 (score 89.6),Rank ≤ #100  (low ATK / high bulk),Hex / Ice Punch / Shadow Punch,1,6
,,GL,Dusclops (Shadow) #49 (score 89.4),Rank ≤ #100  (low ATK / high bulk),Hex / Ice Punch / Shadow Punch,1,
,,GL,Dusknoir #96 (score 87.4),Rank ≤ #100  (low ATK / high bulk),Astonish / Dynamic Punch / Shadow Punch,1,
,,UL,Dusknoir #20 (score 90.7),Rank ≤ #100  (low ATK / high bulk),Astonish / Dynamic Punch / Shadow Punch,1,
,,GL,Dusknoir (Shadow) #72 (score 88.3),Rank ≤ #100  (low ATK / high bulk),Astonish / Dynamic Punch / Shadow Punch,1,
,,UL,Dusknoir (Shadow) #23 (score 90.6),Rank ≤ #100  (low ATK / high bulk),Astonish / Dynamic Punch / Shadow Punch,1,
360,Wynaut,LC,Wynaut #2 (score 89.3),Rank ≤ #100  (low ATK / high bulk),Counter / Mirror Coat,1,1
363,Spheal,GL,Sealeo #38 (score 89.8),Rank ≤ #100  (low ATK / high bulk),Powder Snow / Surf / Body Slam,1,4
,,GL,Sealeo (Shadow) #40 (score 89.7),Rank ≤ #100  (low ATK / high bulk),Powder Snow / Surf / Body Slam,1,
,,UL,Walrein #31 (score 90.4),Rank ≤ #100  (low ATK / high bulk),Powder Snow / Icicle Spear / Earthquake,1,
,,UL,Walrein (Shadow) #27 (score 90.5),Rank ≤ #100  (low ATK / high bulk),Powder Snow / Icicle Spear / Earthquake,1,
371,Bagon,GL,Shelgon #89 (score 87.8),Rank ≤ #100  (low ATK / high bulk),Dragon Breath / Twister / Flamethrower,1,2
,,GL,Shelgon (Shadow) #91 (score 87.6),Rank ≤ #100  (low ATK / high bulk),Dragon Breath / Twister / Flamethrower,1,
374,Beldum,ML,Metagross #3 (score 97.9),IV% ≥96% or 15 ATK  (high ATK),Shadow Claw / Meteor Mash / Earthquake,1,2
,,ML,Metagross (Shadow) #18 (score 90.5),IV% ≥96% or 15 ATK  (high ATK),Shadow Claw / Meteor Mash / Earthquake,1,
379,Registeel,GL,Registeel #70 (score 88.4),Rank ≤ #100  (low ATK / high bulk),Lock On / Flash Cannon / Focus Blast,1,2
,,UL,Registeel #19 (score 90.8),Rank ≤ #100  (low ATK / high bulk),Lock On / Flash Cannon / Focus Blast,1,
380,Latias,ML,Latias #50 (score 84.4),IV% ≥96% or 15 ATK  (high ATK),Dragon Breath / Aura Sphere / Mist Ball,1,2
,,ML,Latias (Shadow) #40 (score 86.3),IV% ≥96% or 15 ATK  (high ATK),Dragon Breath / Aura Sphere / Mist Ball,1,
381,Latios,ML,Latios #28 (score 88),IV% ≥96% or 15 ATK  (high ATK),Dragon Breath / Aura Sphere / Luster Purge,1,2
,,ML,Latios (Shadow) #29 (score 88),IV% ≥96% or 15 ATK  (high ATK),Dragon Breath / Aura Sphere / Luster Purge,1,
382,Kyogre,ML,Kyogre #11 (score 93),IV% ≥96% or 15 ATK  (high ATK),Waterfall / Avalanche / Origin Pulse,1,2
,,ML,Kyogre (Shadow) #30 (score 87.9),IV% ≥96% or 15 ATK  (high ATK),Waterfall / Avalanche / Origin Pulse,1,
383,Groudon,ML,Groudon #33 (score 87.4),IV% ≥96% or 15 ATK  (high ATK),Dragon Tail / Fire Punch / Precipice Blades,1,2
,,ML,Groudon (Shadow) #60 (score 82.3),IV% ≥96% or 15 ATK  (high ATK),Dragon Tail / Fire Punch / Precipice Blades,1,
385,Jirachi,ML,Jirachi #44 (score 85.2),IV% ≥96% or 15 ATK  (high ATK),Confusion / Doom Desire / Aura Sphere,1,1
393,Piplup,GL,Empoleon #5 (score 92.2),Rank ≤ #100  (low ATK / high bulk),Metal Sound / Hydro Cannon / Drill Peck,1,4
,,UL,Empoleon #9 (score 92.5),Rank ≤ #100  (low ATK / high bulk),Metal Sound / Hydro Cannon / Drill Peck,1,
,,GL,Empoleon (Shadow) #7 (score 91.9),Rank ≤ #100  (low ATK / high bulk),Metal Sound / Hydro Cannon / Drill Peck,1,
,,UL,Empoleon (Shadow) #7 (score 92.7),Rank ≤ #100  (low ATK / high bulk),Metal Sound / Hydro Cannon / Drill Peck,1,
410,Shieldon,GL,Bastiodon #66 (score 88.7),Rank ≤ #100  (low ATK / high bulk),Smack Down / Stone Edge / Flamethrower,1,1
422,Shellos,GL,Gastrodon #57 (score 89.1),Rank ≤ #100  (low ATK / high bulk),Mud Slap / Body Slam / Earth Power,1,2
,,UL,Gastrodon #90 (score 87.6),Rank ≤ #100  (low ATK / high bulk),Mud Slap / Body Slam / Earth Power,1,
425,Drifloon,LC,Drifloon #34 (score 78.3),Rank ≤ #100  (low ATK / high bulk),Hex / Icy Wind / Shadow Ball,1,2
,,LC,Drifloon (Shadow) #27 (score 79),Rank ≤ #100  (low ATK / high bulk),Hex / Icy Wind / Shadow Ball,1,
434,Stunky,LC,Stunky (Shadow) #13 (score 82.8),Rank ≤ #100  (low ATK / high bulk),Bite / Crunch / Sludge Bomb,1,1
436,Bronzor,LC,Bronzor #1 (score 98.3),Rank ≤ #100  (low ATK / high bulk),Tackle / Heavy Slam / Payback,1,1
443,Gible,ML,Garchomp #23 (score 88.7),IV% ≥96% or 15 ATK  (high ATK),Dragon Tail / Twister / Earth Power,1,2
,,ML,Garchomp (Shadow) #20 (score 89.7),IV% ≥96% or 15 ATK  (high ATK),Dragon Tail / Twister / Earth Power,1,
447,Riolu,LC,Riolu #28 (score 78.9),Rank ≤ #100  (low ATK / high bulk),Counter / Cross Chop / Blaze Kick,1,1
449,Hippopotas,UL,Hippowdon #60 (score 88.8),Rank ≤ #100  (low ATK / high bulk),Sand Attack / Weather Ball Rock / Earth Power,1,2
,,UL,Hippowdon (Shadow) #69 (score 88.5),Rank ≤ #100  (low ATK / high bulk),Sand Attack / Weather Ball Rock / Earth Power,1,
451,Skorupi,GL,Drapion #93 (score 87.5),Rank ≤ #100  (low ATK / high bulk),Poison Sting / Crunch / Aqua Tail,1,3
,,UL,Drapion #99 (score 87.4),Rank ≤ #100  (low ATK / high bulk),Poison Sting / Crunch / Aqua Tail,1,
,,GL,Drapion (Shadow) #60 (score 89),Rank ≤ #100  (low ATK / high bulk),Poison Sting / Crunch / Aqua Tail,1,
458,Mantyke,GL,Mantine #53 (score 89.3),Rank ≤ #100  (low ATK / high bulk),Wing Attack / Twister / Water Pulse,1,1
483,Dialga,ML,Dialga #41 (score 86),IV% ≥96% or 15 ATK  (high ATK),Dragon Breath / Iron Head / Draco Meteor,1,3
,,ML,Dialga (Origin) #7 (score 94),IV% ≥96% or 15 ATK  (high ATK),Dragon Breath / Roar Of Time / Iron Head,1,
,,ML,Dialga (Shadow) #42 (score 86),IV% ≥96% or 15 ATK  (high ATK),Dragon Breath / Iron Head / Draco Meteor,1,
484,Palkia,ML,Palkia #27 (score 88.4),IV% ≥96% or 15 ATK  (high ATK),Dragon Breath / Aqua Tail / Fire Blast,1,3
,,ML,Palkia (Origin) #2 (score 98.9),IV% ≥96% or 15 ATK  (high ATK),Dragon Breath / Aqua Tail / Spacial Rend,1,
,,ML,Palkia (Shadow) #16 (score 91.4),IV% ≥96% or 15 ATK  (high ATK),Dragon Breath / Aqua Tail / Draco Meteor,1,
485,Heatran,ML,Heatran (Shadow) #66 (score 80.8),IV% ≥96% or 15 ATK  (high ATK),Fire Spin / Magma Storm / Earth Power,1,1
487,Giratina,UL,Giratina (Altered) #32 (score 90.3),Rank ≤ #100  (low ATK / high bulk),Dragon Breath / Dragon Claw / Shadow Sneak,1,4
,,UL,Giratina (Altered) (Shadow) #43 (score 89.6),Rank ≤ #100  (low ATK / high bulk),Dragon Breath / Dragon Claw / Shadow Sneak,1,
,,ML,Giratina (Altered) (Shadow) #75 (score 80.1),IV% ≥96% or 15 ATK  (high ATK),Dragon Breath / Ancient Power / Dragon Claw,1,
,,ML,Giratina (Origin) #70 (score 80.4),IV% ≥96% or 15 ATK  (high ATK),Dragon Tail / Shadow Ball / Ominous Wind,1,
488,Cresselia,UL,Cresselia #39 (score 89.7),Rank ≤ #100  (low ATK / high bulk),Psycho Cut / Grass Knot / Moonblast,1,2
,,UL,Cresselia (Shadow) #51 (score 89.1),Rank ≤ #100  (low ATK / high bulk),Psycho Cut / Grass Knot / Moonblast,1,
498,Tepig,LC,Tepig #48 (score 76.9),Rank ≤ #100  (low ATK / high bulk),Ember / Body Slam / Flame Charge,1,1
