Section,Spawn,League / Purpose (other uses),Best form & rank,IV target,Moveset,Keep,Total
Little Cup — Top 50,Chikorita (Shadow),—,Chikorita (Shadow) #30 (score 79.9),Rank ≤ #100  (low ATK / high bulk),Vine Whip / Grass Knot / Body Slam,1,1
Little Cup — Top 50,Oddish (Shadow),—,Oddish (Shadow) #31 (score 79.9),Rank ≤ #100  (low ATK / high bulk),Razor Leaf / Sludge Bomb / Seed Bomb,1,1
Little Cup — Top 50,Barboach,—,Barboach #32 (score 79.8),Rank ≤ #100  (low ATK / high bulk),Mud Shot / Mud Bomb / Aqua Tail,1,1
Little Cup — Top 50,Wailmer (Shadow),—,Wailmer (Shadow) #33 (score 78.1),Rank ≤ #100  (low ATK / high bulk),Rollout / Body Slam / Scald,1,1
Little Cup — Top 50,Grookey,—,Grookey #34 (score 77.9),Rank ≤ #100  (low ATK / high bulk),Razor Leaf / Grass Knot / Energy Ball,1,1
Little Cup — Top 50,Chikorita,—,Chikorita #35 (score 77.8),Rank ≤ #100  (low ATK / high bulk),Vine Whip / Body Slam / Grass Knot,1,1
Little Cup — Top 50,Cyndaquil (Shadow),—,Cyndaquil (Shadow) #36 (score 77.8),Rank ≤ #100  (low ATK / high bulk),Ember / Swift / Flame Charge,1,1
Little Cup — Top 50,Slowpoke (Shadow),—,Slowpoke (Shadow) #37 (score 77.6),Rank ≤ #100  (low ATK / high bulk),Confusion / Psyshock / Water Pulse,1,1
Little Cup — Top 50,Fennekin,—,Fennekin #38 (score 77.4),Rank ≤ #100  (low ATK / high bulk),Ember / Psyshock / Flame Charge,1,1
Little Cup — Top 50,Chinchou,—,Chinchou #39 (score 76.7),Rank ≤ #100  (low ATK / high bulk),Spark / Thunderbolt / Bubble Beam,1,1
Little Cup — Top 50,Tirtouga,—,Tirtouga #40 (score 76.7),Rank ≤ #100  (low ATK / high bulk),Water Gun / Ancient Power / Body Slam,1,1
Little Cup — Top 50,Vulpix,—,Vulpix #41 (score 76.4),Rank ≤ #100  (low ATK / high bulk),Ember / Weather Ball Fire / Body Slam,1,1
Little Cup — Top 50,Cottonee,—,Cottonee #42 (score 76.3),Rank ≤ #100  (low ATK / high bulk),Charm / Grass Knot / Seed Bomb,1,1
Little Cup — Top 50,Litleo,—,Litleo #43 (score 76.3),Rank ≤ #100  (low ATK / high bulk),Incinerate / Crunch / Flame Charge,1,1
Little Cup — Top 50,Oddish,—,Oddish #44 (score 76.3),Rank ≤ #100  (low ATK / high bulk),Razor Leaf / Sludge Bomb / Seed Bomb,1,1
Little Cup — Top 50,Sewaddle,—,Sewaddle #45 (score 76.3),Rank ≤ #100  (low ATK / high bulk),Bug Bite / Seed Bomb / Silver Wind,1,1
Little Cup — Top 50,Surskit,—,Surskit #46 (score 76.3),Rank ≤ #100  (low ATK / high bulk),Bug Bite / Aqua Jet / Signal Beam,1,1
Little Cup — Top 50,Slowpoke,—,Slowpoke #47 (score 76.2),Rank ≤ #100  (low ATK / high bulk),Confusion / Psyshock / Water Pulse,1,1
Little Cup — Top 50,Mantyke,—,Mantyke #48 (score 75.5),Rank ≤ #100  (low ATK / high bulk),Bubble / Aerial Ace / Ice Beam,1,1
Little Cup — Top 50,Omanyte,—,Omanyte #49 (score 75.5),Rank ≤ #100  (low ATK / high bulk),Mud Shot / Rock Tomb / Rock Blast,1,1
Little Cup — Top 50,Numel (Shadow),—,Numel (Shadow) #50 (score 75.3),Rank ≤ #100  (low ATK / high bulk),Ember / Stomp / Bulldoze,1,1
Great League — Top 100,Lickitung,UL #2,Lickilicky #1 (score 93.7),Rank ≤ #100  (low ATK / high bulk),Rollout / Body Slam / Shadow Ball,1,2
Great League — Top 100,Tinkatink,UL #4,Tinkaton #2 (score 92.6),Rank ≤ #100  (low ATK / high bulk),Fairy Wind / Gigaton Hammer / Bulldoze,1,2
Great League — Top 100,Swablu,—,Altaria #3 (score 92.2),Rank ≤ #100  (low ATK / high bulk),Dragon Breath / Sky Attack / Flamethrower,1,1
Great League — Top 100,Piplup,UL #9,Empoleon #4 (score 92.2),Rank ≤ #100  (low ATK / high bulk),Metal Sound / Hydro Cannon / Drill Peck,1,2
Great League — Top 100,Mimikyu,UL #1,Mimikyu (Busted) #5 (score 92.2),Rank ≤ #100  (low ATK / high bulk),Shadow Claw / Shadow Sneak / Play Rough,1,2
Great League — Top 100,Swablu (Shadow),—,Altaria (Shadow) #6 (score 91.9),Rank ≤ #100  (low ATK / high bulk),Dragon Breath / Sky Attack / Flamethrower,1,1
Great League — Top 100,Piplup (Shadow),UL #8,Empoleon (Shadow) #7 (score 91.9),Rank ≤ #100  (low ATK / high bulk),Metal Sound / Hydro Cannon / Drill Peck,1,2
Great League — Top 100,Wooper (Shadow),—,Quagsire (Shadow) #8 (score 91.8),Rank ≤ #100  (low ATK / high bulk),Mud Shot / Aqua Tail / Mud Bomb,1,1
Great League — Top 100,Wooper,—,Quagsire #9 (score 91.7),Rank ≤ #100  (low ATK / high bulk),Mud Shot / Aqua Tail / Mud Bomb,1,1
Great League — Top 100,Frillish,UL #13,Jellicent #10 (score 91.6),Rank ≤ #100  (low ATK / high bulk),Hex / Surf / Shadow Ball,1,2
Great League — Top 100,Pineco,UL #15,Forretress #11 (score 91.5),Rank ≤ #100  (low ATK / high bulk),Volt Switch / Sand Tomb / Rock Tomb,1,2
Great League — Top 100,Vulpix,UL #41,Ninetales #12 (score 91.4),Rank ≤ #100  (low ATK / high bulk),Ember / Weather Ball Fire / Energy Ball,1,2
Great League — Top 100,Cramorant,UL #27,Cramorant #13 (score 91.1),Rank ≤ #100  (low ATK / high bulk),Peck / Dive / Fly,1,2
Great League — Top 100,Vulpix (Shadow),UL #55,Ninetales (Shadow) #14 (score 91.1),Rank ≤ #100  (low ATK / high bulk),Ember / Weather Ball Fire / Energy Ball,1,2
Great League — Top 100,Totodile,UL #45,Feraligatr #15 (score 91),Rank ≤ #100  (low ATK / high bulk),Shadow Claw / Hydro Cannon / Ice Beam,1,2
Great League — Top 100,Pineco (Shadow),UL #18,Forretress (Shadow) #16 (score 91),Rank ≤ #100  (low ATK / high bulk),Volt Switch / Sand Tomb / Rock Tomb,1,2
Great League — Top 100,Corsola (Galarian),—,Corsola (Galarian) #17 (score 90.9),Rank ≤ #100  (low ATK / high bulk),Astonish / Night Shade / Power Gem,1,1
Great League — Top 100,Hoppip,—,Jumpluff #18 (score 90.9),Rank ≤ #100  (low ATK / high bulk),Fairy Wind / Energy Ball / Acrobatics,1,1
Great League — Top 100,Wooper (Paldean),—,Clodsire #19 (score 90.8),Rank ≤ #100  (low ATK / high bulk),Poison Sting / Earthquake / Stone Edge,1,1
Great League — Top 100,Rookidee,UL #3,Corviknight #20 (score 90.7),Rank ≤ #100  (low ATK / high bulk),Sand Attack / Air Cutter / Payback,1,2
Great League — Top 100,Spearow,—,Fearow #21 (score 90.7),Rank ≤ #100  (low ATK / high bulk),Peck / Drill Peck / Drill Run,1,1
Great League — Top 100,Totodile (Shadow),UL #17,Feraligatr (Shadow) #22 (score 90.6),Rank ≤ #100  (low ATK / high bulk),Shadow Claw / Hydro Cannon / Ice Beam,1,2
Great League — Top 100,Horsea,UL #20,Kingdra #23 (score 90.6),Rank ≤ #100  (low ATK / high bulk),Dragon Breath / Surf / Swift,1,2
Great League — Top 100,Azurill,—,Azumarill #24 (score 90.5),Rank ≤ #100  (low ATK / high bulk),Bubble / Ice Beam / Play Rough,1,1
Great League — Top 100,Guzzlord,UL #62,Guzzlord #25 (score 90.5),Rank ≤ #100  (low ATK / high bulk),Dragon Tail / Brutal Swing / Sludge Bomb,1,2
Great League — Top 100,Sentret,—,Furret #26 (score 90.3),Rank ≤ #100  (low ATK / high bulk),Sucker Punch / Swift / Trailblaze,1,1
Great League — Top 100,Horsea (Shadow),UL #39,Kingdra (Shadow) #27 (score 90.3),Rank ≤ #100  (low ATK / high bulk),Dragon Breath / Surf / Swift,1,2
Great League — Top 100,Lapras,UL #25,Lapras #28 (score 90.3),Rank ≤ #100  (low ATK / high bulk),Psywave / Sparkling Aria / Ice Beam,1,2
Great League — Top 100,Rookidee (Shadow),UL #5,Corviknight (Shadow) #29 (score 90.2),Rank ≤ #100  (low ATK / high bulk),Sand Attack / Air Cutter / Payback,1,2
Great League — Top 100,Dratini (Shadow),—,Dragonair (Shadow) #30 (score 90.2),Rank ≤ #100  (low ATK / high bulk),Dragon Breath / Wrap / Aqua Tail,1,1
Great League — Top 100,Sableye (Shadow),—,Sableye (Shadow) #31 (score 90.2),Rank ≤ #100  (low ATK / high bulk),Shadow Claw / Foul Play / Drain Punch,1,1
Great League — Top 100,Tympole,UL #73,Seismitoad #32 (score 90.2),Rank ≤ #100  (low ATK / high bulk),Mud Shot / Earth Power / Icy Wind,1,2
Great League — Top 100,Eevee,—,Umbreon #33 (score 90.2),Rank ≤ #100  (low ATK / high bulk),Snarl / Foul Play / Last Resort,1,1
Great League — Top 100,Meditite,—,Medicham #34 (score 90.1),Rank ≤ #100  (low ATK / high bulk),Psycho Cut / Ice Punch / Dynamic Punch,1,1
Great League — Top 100,Fletchling,UL #32,Talonflame #35 (score 90.1),Rank ≤ #100  (low ATK / high bulk),Incinerate / Fly / Brave Bird,1,2
Great League — Top 100,Dratini,—,Dragonair #36 (score 90),Rank ≤ #100  (low ATK / high bulk),Dragon Breath / Aqua Tail / Dragon Pulse,1,1
Great League — Top 100,Lechonk,UL #90,Oinkologne (Female) #37 (score 89.9),Rank ≤ #100  (low ATK / high bulk),Mud Slap / Body Slam / Trailblaze,1,2
Great League — Top 100,Goomy,—,Sliggoo #38 (score 89.9),Rank ≤ #100  (low ATK / high bulk),Dragon Breath / Body Slam / Dragon Pulse,1,1
Great League — Top 100,Spheal,—,Sealeo #39 (score 89.8),Rank ≤ #100  (low ATK / high bulk),Powder Snow / Surf / Body Slam,1,1
Great League — Top 100,Skwovet,—,Greedent #40 (score 89.7),Rank ≤ #100  (low ATK / high bulk),Mud Shot / Body Slam / Trailblaze,1,1
Great League — Top 100,Spoink,—,Grumpig #41 (score 89.7),Rank ≤ #100  (low ATK / high bulk),Psywave / Dynamic Punch / Shadow Ball,1,1
Great League — Top 100,Spheal (Shadow),—,Sealeo (Shadow) #42 (score 89.7),Rank ≤ #100  (low ATK / high bulk),Powder Snow / Surf / Body Slam,1,1
Great League — Top 100,Nickit,—,Thievul #43 (score 89.7),Rank ≤ #100  (low ATK / high bulk),Sucker Punch / Night Slash / Icy Wind,1,1
Great League — Top 100,Bunnelby,—,Diggersby #44 (score 89.6),Rank ≤ #100  (low ATK / high bulk),Mud Shot / Fire Punch / Scorching Sands,1,1
Great League — Top 100,Duskull,—,Dusclops #45 (score 89.6),Rank ≤ #100  (low ATK / high bulk),Hex / Ice Punch / Shadow Punch,1,1
Great League — Top 100,Lapras (Shadow),UL #30,Lapras (Shadow) #46 (score 89.5),Rank ≤ #100  (low ATK / high bulk),Psywave / Sparkling Aria / Ice Beam,1,2
Great League — Top 100,Sableye,—,Sableye #47 (score 89.5),Rank ≤ #100  (low ATK / high bulk),Shadow Claw / Foul Play / Power Gem,1,1
Great League — Top 100,Igglybuff,—,Wigglytuff #48 (score 89.5),Rank ≤ #100  (low ATK / high bulk),Charm / Icy Wind / Swift,1,1
Great League — Top 100,Lileep,UL #43,Cradily #49 (score 89.4),Rank ≤ #100  (low ATK / high bulk),Acid / Rock Tomb / Grass Knot,1,2
Great League — Top 100,Duskull (Shadow),—,Dusclops (Shadow) #50 (score 89.4),Rank ≤ #100  (low ATK / high bulk),Hex / Ice Punch / Shadow Punch,1,1
Great League — Top 100,Flabebe,UL #6 · ML #36,Florges #51 (score 89.4),Rank ≤ #100  (low ATK / high bulk),Fairy Wind / Chilling Water / Disarming Voice,1,3
Great League — Top 100,Moltres (Galarian),UL #10,Moltres (Galarian) #52 (score 89.4),Rank ≤ #100  (low ATK / high bulk),Sucker Punch / Fly / Brave Bird,1,2
Great League — Top 100,Squirtle,UL #23,Blastoise #53 (score 89.3),Rank ≤ #100  (low ATK / high bulk),Rollout / Hydro Cannon / Skull Bash,1,2
Great League — Top 100,Cleffa,UL #54,Clefable #54 (score 89.3),Rank ≤ #100  (low ATK / high bulk),Fairy Wind / Moonblast / Meteor Mash,1,2
Great League — Top 100,Mantyke,—,Mantine #55 (score 89.3),Rank ≤ #100  (low ATK / high bulk),Wing Attack / Twister / Water Pulse,1,1
Great League — Top 100,Fletchling (Shadow),UL #37,Talonflame (Shadow) #56 (score 89.3),Rank ≤ #100  (low ATK / high bulk),Incinerate / Flame Charge / Fly,1,2
Great League — Top 100,Vullaby,—,Mandibuzz #57 (score 89.2),Rank ≤ #100  (low ATK / high bulk),Snarl / Foul Play / Shadow Ball,1,1
Great League — Top 100,Seel,—,Dewgong #58 (score 89.1),Rank ≤ #100  (low ATK / high bulk),Ice Shard / Icy Wind / Drill Run,1,1
Great League — Top 100,Inkay,UL #26,Malamar #59 (score 89.1),Rank ≤ #100  (low ATK / high bulk),Psywave / Super Power / Foul Play,1,2
Great League — Top 100,Onix (Shadow),UL #51,Steelix (Shadow) #60 (score 89.1),Rank ≤ #100  (low ATK / high bulk),Thunder Fang / Psychic Fangs / Crunch,1,2
Great League — Top 100,Grubbin,—,Charjabug #61 (score 89),Rank ≤ #100  (low ATK / high bulk),Volt Switch / X Scissor / Discharge,1,1
Great League — Top 100,Skorupi (Shadow),—,Drapion (Shadow) #62 (score 89),Rank ≤ #100  (low ATK / high bulk),Poison Sting / Crunch / Aqua Tail,1,1
Great League — Top 100,Shellos,UL #91,Gastrodon #63 (score 89),Rank ≤ #100  (low ATK / high bulk),Mud Slap / Body Slam / Earth Power,1,2
Great League — Top 100,Vulpix (Alolan),UL #19,Ninetales (Alolan) #64 (score 89),Rank ≤ #100  (low ATK / high bulk),Powder Snow / Weather Ball Ice / Chilling Water,1,2
Great League — Top 100,Vulpix (Alolan) (Shadow),UL #21,Ninetales (Alolan) (Shadow) #65 (score 88.8),Rank ≤ #100  (low ATK / high bulk),Powder Snow / Weather Ball Ice / Chilling Water,1,2
Great League — Top 100,Mudkip,UL #49,Swampert #66 (score 88.8),Rank ≤ #100  (low ATK / high bulk),Mud Shot / Hydro Cannon / Earthquake,1,2
Great League — Top 100,Honedge,—,Aegislash (Blade) #67 (score 88.7),Rank ≤ #100  (low ATK / high bulk),Aegislash Charge Psycho Cut / Shadow Ball / Gyro Ball,1,1
Great League — Top 100,Shieldon,—,Bastiodon #68 (score 88.7),Rank ≤ #100  (low ATK / high bulk),Smack Down / Stone Edge / Flamethrower,1,1
Great League — Top 100,Cubone (Shadow),—,Marowak (Shadow) #69 (score 88.7),Rank ≤ #100  (low ATK / high bulk),Mud Slap / Bone Club / Rock Slide,1,1
Great League — Top 100,Mudkip (Shadow),UL #100,Swampert (Shadow) #70 (score 88.7),Rank ≤ #100  (low ATK / high bulk),Mud Shot / Hydro Cannon / Earthquake,1,2
Great League — Top 100,Stunfisk (Galarian),—,Stunfisk (Galarian) #71 (score 88.5),Rank ≤ #100  (low ATK / high bulk),Mud Shot / Rock Slide / Earthquake,1,1
Great League — Top 100,Stunfisk,UL #88,Stunfisk #72 (score 88.4),Rank ≤ #100  (low ATK / high bulk),Thunder Shock / Mud Bomb / Discharge,1,2
Great League — Top 100,Deino (Shadow),UL #67 · ML #43,Hydreigon (Shadow) #73 (score 88.3),Rank ≤ #100  (low ATK / high bulk),Dragon Breath / Brutal Swing / Fly,1,3
Great League — Top 100,Registeel,UL #22,Registeel #74 (score 88.3),Rank ≤ #100  (low ATK / high bulk),Lock On / Flash Cannon / Focus Blast,1,2
Great League — Top 100,Duskull (Shadow),UL #28,Dusknoir (Shadow) #75 (score 88.2),Rank ≤ #100  (low ATK / high bulk),Astonish / Dynamic Punch / Shadow Punch,1,2
Great League — Top 100,Inkay (Shadow),UL #29,Malamar (Shadow) #76 (score 88.2),Rank ≤ #100  (low ATK / high bulk),Psywave / Foul Play / Super Power,1,2
Great League — Top 100,Dunsparce,—,Dunsparce #77 (score 88.1),Rank ≤ #100  (low ATK / high bulk),Rollout / Drill Run / Rock Slide,1,1
Great League — Top 100,Hoppip (Shadow),—,Jumpluff (Shadow) #78 (score 88),Rank ≤ #100  (low ATK / high bulk),Fairy Wind / Energy Ball / Acrobatics,1,1
Great League — Top 100,Meltan,UL #72 · ML #38,Melmetal #79 (score 88),Rank ≤ #100  (low ATK / high bulk),Thunder Shock / Double Iron Bash / Dynamic Punch,1,3
Great League — Top 100,Morpeko (Full Belly),—,Morpeko (Hangry) #80 (score 88),Rank ≤ #100  (low ATK / high bulk),Thunder Shock / Aura Wheel Electric / Psychic Fangs,1,1
Great League — Top 100,Wingull,—,Pelipper #81 (score 88),Rank ≤ #100  (low ATK / high bulk),Wing Attack / Weather Ball Water / Hurricane,1,1
Great League — Top 100,Turtonator,UL #60,Turtonator #82 (score 88),Rank ≤ #100  (low ATK / high bulk),Incinerate / Brutal Swing / Dragon Claw,1,2
Great League — Top 100,Oranguru,UL #47,Oranguru #83 (score 87.9),Rank ≤ #100  (low ATK / high bulk),Confusion / Brutal Swing / Trailblaze,1,2
Great League — Top 100,Goldeen,UL #48,Seaking #84 (score 87.9),Rank ≤ #100  (low ATK / high bulk),Peck / Drill Run / Icy Wind,1,2
Great League — Top 100,Dondozo,UL #35,Dondozo #85 (score 87.8),Rank ≤ #100  (low ATK / high bulk),Waterfall / Surf / Outrage,1,2
Great League — Top 100,Pumpkaboo (Large),—,Gourgeist (Large) #86 (score 87.8),Rank ≤ #100  (low ATK / high bulk),Incinerate / Shadow Ball / Seed Bomb,1,1
Great League — Top 100,Pumpkaboo (Super),—,Gourgeist (Super) #87 (score 87.8),Rank ≤ #100  (low ATK / high bulk),Incinerate / Shadow Ball / Seed Bomb,1,1
Great League — Top 100,Feebas,UL #40,Milotic #88 (score 87.8),Rank ≤ #100  (low ATK / high bulk),Waterfall / Aqua Tail / Wrap,1,2
Great League — Top 100,Bagon,—,Shelgon #89 (score 87.8),Rank ≤ #100  (low ATK / high bulk),Dragon Breath / Twister / Flamethrower,1,1
Great League — Top 100,Pumpkaboo (Average),—,Gourgeist (Average) #90 (score 87.7),Rank ≤ #100  (low ATK / high bulk),Incinerate / Shadow Ball / Seed Bomb,1,1
Great League — Top 100,Deino,ML #65,Hydreigon #91 (score 87.7),Rank ≤ #100  (low ATK / high bulk),Dragon Breath / Brutal Swing / Fly,1,2
Great League — Top 100,Skorupi,UL #98,Drapion #92 (score 87.6),Rank ≤ #100  (low ATK / high bulk),Poison Sting / Crunch / Aqua Tail,1,2
Great League — Top 100,Bagon (Shadow),—,Shelgon (Shadow) #93 (score 87.6),Rank ≤ #100  (low ATK / high bulk),Dragon Breath / Twister / Flamethrower,1,1
Great League — Top 100,Honedge,—,Doublade #94 (score 87.5),Rank ≤ #100  (low ATK / high bulk),Shadow Claw / Sacred Sword / Gyro Ball,1,1
Great League — Top 100,Impidimp,—,Morgrem #95 (score 87.5),Rank ≤ #100  (low ATK / high bulk),Sucker Punch / Foul Play / Play Rough,1,1
Great League — Top 100,Oshawott,UL #77,Samurott #96 (score 87.5),Rank ≤ #100  (low ATK / high bulk),Fury Cutter / Hydro Cannon / Megahorn,1,2
Great League — Top 100,Dwebble,UL #97,Crustle #97 (score 87.4),Rank ≤ #100  (low ATK / high bulk),Fury Cutter / X Scissor / Rock Wrecker,1,2
Great League — Top 100,Duskull,UL #24,Dusknoir #98 (score 87.4),Rank ≤ #100  (low ATK / high bulk),Astonish / Dynamic Punch / Shadow Punch,1,2
Great League — Top 100,Pumpkaboo (Small),—,Gourgeist (Small) #99 (score 87.4),Rank ≤ #100  (low ATK / high bulk),Incinerate / Shadow Ball / Seed Bomb,1,1
Great League — Top 100,Castform (Sunny),—,Castform (Sunny) #100 (score 87.3),Rank ≤ #100  (low ATK / high bulk),Ember / Weather Ball Fire / Solar Beam,1,1
Ultra League — Top 100,Mimikyu,GL #5,Mimikyu (Busted) #1 (score 95.9),Rank ≤ #100  (low ATK / high bulk),Shadow Claw / Shadow Sneak / Play Rough,1,2
Ultra League — Top 100,Lickitung,GL #1,Lickilicky #2 (score 93.8),Rank ≤ #100  (low ATK / high bulk),Rollout / Body Slam / Shadow Ball,1,2
Ultra League — Top 100,Rookidee,GL #20,Corviknight #3 (score 93.4),Rank ≤ #100  (low ATK / high bulk),Sand Attack / Air Cutter / Payback,1,2
Ultra League — Top 100,Tinkatink,GL #2,Tinkaton #4 (score 93.2),Rank ≤ #100  (low ATK / high bulk),Fairy Wind / Gigaton Hammer / Bulldoze,1,2
Ultra League — Top 100,Rookidee (Shadow),GL #29,Corviknight (Shadow) #5 (score 93.1),Rank ≤ #100  (low ATK / high bulk),Sand Attack / Air Cutter / Payback,1,2
Ultra League — Top 100,Flabebe,GL #51 · ML #36,Florges #6 (score 93),Rank ≤ #100  (low ATK / high bulk),Fairy Wind / Chilling Water / Disarming Voice,1,3
Ultra League — Top 100,Virizion,—,Virizion #7 (score 92.8),Rank ≤ #100  (low ATK / high bulk),Double Kick / Leaf Blade / Sacred Sword,1,1
Ultra League — Top 100,Piplup (Shadow),GL #7,Empoleon (Shadow) #8 (score 92.7),Rank ≤ #100  (low ATK / high bulk),Metal Sound / Hydro Cannon / Drill Peck,1,2
Ultra League — Top 100,Piplup,GL #4,Empoleon #9 (score 92.5),Rank ≤ #100  (low ATK / high bulk),Metal Sound / Hydro Cannon / Drill Peck,1,2
Ultra League — Top 100,Moltres (Galarian),GL #52,Moltres (Galarian) #10 (score 92.2),Rank ≤ #100  (low ATK / high bulk),Sucker Punch / Fly / Brave Bird,1,2
Ultra League — Top 100,Mankey,ML #59,Annihilape #11 (score 91.8),Rank ≤ #100  (low ATK / high bulk),Low Kick / Rage Fist / Ice Punch,1,2
Ultra League — Top 100,Mankey (Shadow),ML #47,Annihilape (Shadow) #12 (score 91.8),Rank ≤ #100  (low ATK / high bulk),Counter / Rage Fist / Ice Punch,1,2
Ultra League — Top 100,Frillish,GL #10,Jellicent #13 (score 91.8),Rank ≤ #100  (low ATK / high bulk),Hex / Surf / Shadow Ball,1,2
Ultra League — Top 100,Mankey,—,Primeape #14 (score 91.8),Rank ≤ #100  (low ATK / high bulk),Karate Chop / Rage Fist / Ice Punch,1,1
Ultra League — Top 100,Pineco,GL #11,Forretress #15 (score 91.7),Rank ≤ #100  (low ATK / high bulk),Volt Switch / Sand Tomb / Rock Tomb,1,2
Ultra League — Top 100,Zygarde (Complete Forme),ML #25,Zygarde (Complete Forme) #16 (score 91.7),Rank ≤ #100  (low ATK / high bulk),Dragon Tail / Crunch / Earthquake,1,2
Ultra League — Top 100,Totodile (Shadow),GL #22,Feraligatr (Shadow) #17 (score 91.1),Rank ≤ #100  (low ATK / high bulk),Shadow Claw / Hydro Cannon / Ice Beam,1,2
